mun_cod;municipio;uf;pais
292105;MATINA;BA;Brasil
354105;PRATANIA;SP;Brasil
354130;PRESIDENTE EPITACIO;SP;Brasil
354140;PRESIDENTE PRUDENTE;SP;Brasil
354150;PRESIDENTE VENCESLAU;SP;Brasil
354170;QUATA;SP;Brasil
354180;QUEIROZ;SP;Brasil
354210;RAFARD;SP;Brasil
354220;RANCHARIA;SP;Brasil
354230;REDENCAO DA SERRA;SP;Brasil
354260;REGISTRO;SP;Brasil
354290;RIBEIRAO BONITO;SP;Brasil
354310;RIBEIRAO CORRENTE;SP;Brasil
354350;RIVERSUL;SP;Brasil
354380;RINOPOLIS;SP;Brasil
354410;RIO GRANDE DA SERRA;SP;Brasil
354420;RIOLANDIA;SP;Brasil
354425;ROSANA;SP;Brasil
354430;ROSEIRA;SP;Brasil
354460;SABINO;SP;Brasil
354470;SAGRES;SP;Brasil
354510;SALMOURAO;SP;Brasil
354530;SALTO DE PIRAPORA;SP;Brasil
354550;SANDOVALINA;SP;Brasil
354600;SANTA BRANCA;SP;Brasil
354610;SANTA CLARA D'OESTE;SP;Brasil
354620;SANTA CRUZ DA CONCEICAO;SP;Brasil
354630;SANTA CRUZ DAS PALMEIRAS;SP;Brasil
354650;SANTA ERNESTINA;SP;Brasil
354660;SANTA FE DO SUL;SP;Brasil
354670;SANTA GERTRUDES;SP;Brasil
354700;SANTA MARIA DA SERRA;SP;Brasil
354750;SANTA RITA DO PASSA QUATRO;SP;Brasil
354760;SANTA ROSA DE VITERBO;SP;Brasil
354765;SANTA SALETE;SP;Brasil
354770;SANTO ANASTACIO;SP;Brasil
354820;SANTO ANTONIO DO PINHAL;SP;Brasil
354830;SANTO EXPEDITO;SP;Brasil
354860;SAO BENTO DO SAPUCAI;SP;Brasil
354880;SAO CAETANO DO SUL;SP;Brasil
354900;SAO FRANCISCO;SP;Brasil
354910;SAO JOAO DA BOA VISTA;SP;Brasil
354925;SAO JOAO DE IRACEMA;SP;Brasil
231095;PIRES FERREIRA;CE;Brasil
231100;PORANGA;CE;Brasil
231120;POTENGI;CE;Brasil
231160;REDENCAO;CE;Brasil
231180;RUSSAS;CE;Brasil
231190;SABOEIRO;CE;Brasil
231210;SANTANA DO CARIRI;CE;Brasil
231250;SAO JOAO DO JAGUARIBE;CE;Brasil
231280;SENADOR SA;CE;Brasil
231290;SOBRAL;CE;Brasil
231300;SOLONOPOLE;CE;Brasil
231320;TAMBORIL;CE;Brasil
231325;TARRAFAS;CE;Brasil
231335;TEJUCUOCA;CE;Brasil
231360;UBAJARA;CE;Brasil
231370;UMARI;CE;Brasil
231375;UMIRIM;CE;Brasil
231380;URUBURETAMA;CE;Brasil
231400;VARZEA ALEGRE;CE;Brasil
240030;AFONSO BEZERRA;RN;Brasil
240040;AGUA NOVA;RN;Brasil
240060;ALMINO AFONSO;RN;Brasil
240100;APODI;RN;Brasil
240110;AREIA BRANCA;RN;Brasil
240140;BAIA FORMOSA;RN;Brasil
240145;BARAUNA;RN;Brasil
240180;BREJINHO;RN;Brasil
240190;CAICARA DO RIO DO VENTO;RN;Brasil
240200;CAICO;RN;Brasil
240220;CANGUARETAMA;RN;Brasil
240230;CARAUBAS;RN;Brasil
240250;CARNAUBAIS;RN;Brasil
240280;CORONEL EZEQUIEL;RN;Brasil
240300;CRUZETA;RN;Brasil
240310;CURRAIS NOVOS;RN;Brasil
240325;PARNAMIRIM;RN;Brasil
240330;ENCANTO;RN;Brasil
240390;FRANCISCO DANTAS;RN;Brasil
240400;FRUTUOSO GOMES;RN;Brasil
240420;GOIANINHA;RN;Brasil
240430;GOVERNADOR DIX-SEPT ROSADO;RN;Brasil
240460;IELMO MARINHO;RN;Brasil
240480;IPUEIRA;RN;Brasil
240485;ITAJA;RN;Brasil
351700;GETULINA;SP;Brasil
351790;GUARACI;SP;Brasil
351840;GUARATINGUETA;SP;Brasil
351885;GUATAPARA;SP;Brasil
351907;HORTOLANDIA;SP;Brasil
351970;IBIUNA;SP;Brasil
352010;IGARAPAVA;SP;Brasil
352042;ILHA COMPRIDA;SP;Brasil
412400;SANTANA DO ITARARE;PR;Brasil
412405;SANTA TEREZINHA DE ITAIPU;PR;Brasil
412420;SANTO ANTONIO DO CAIUA;PR;Brasil
412450;SANTO INACIO;PR;Brasil
412460;SAO CARLOS DO IVAI;PR;Brasil
412500;SAO JOAO DO IVAI;PR;Brasil
412510;SAO JOAO DO TRIUNFO;PR;Brasil
412530;SAO JORGE DO IVAI;PR;Brasil
412545;SAO JOSE DAS PALMEIRAS;PR;Brasil
412555;SAO MANOEL DO PARANA;PR;Brasil
412560;SAO MATEUS DO SUL;PR;Brasil
412575;SAO PEDRO DO IGUACU;PR;Brasil
412590;SAO PEDRO DO PARANA;PR;Brasil
412600;SAO SEBASTIAO DA AMOREIRA;PR;Brasil
412620;SAPOPEMA;PR;Brasil
412627;SAUDADE DO IGUACU;PR;Brasil
412635;SERRANOPOLIS DO IGUACU;PR;Brasil
412650;SERTANOPOLIS;PR;Brasil
412665;SULINA;PR;Brasil
412680;TAPEJARA;PR;Brasil
412690;TAPIRA;PR;Brasil
412710;TELEMACO BORBA;PR;Brasil
412730;TERRA RICA;PR;Brasil
412770;TOLEDO;PR;Brasil
412785;TRES BARRAS DO PARANA;PR;Brasil
412788;TUNAS DO PARANA;PR;Brasil
412790;TUNEIRAS DO OESTE;PR;Brasil
412810;UMUARAMA;PR;Brasil
412830;UNIFLOR;PR;Brasil
412850;WENCESLAU BRAZ;PR;Brasil
412855;VERA CRUZ DO OESTE;PR;Brasil
412862;ALTO PARAISO;PR;Brasil
412865;VIRMOND;PR;Brasil
412870;VITORINO;PR;Brasil
420005;ABDON BATISTA;SC;Brasil
420030;AGRONOMICA;SC;Brasil
420050;AGUAS DE CHAPECO;SC;Brasil
420055;AGUAS FRIAS;SC;Brasil
420070;ALFREDO WAGNER;SC;Brasil
420075;ALTO BELA VISTA;SC;Brasil
420100;ANITA GARIBALDI;SC;Brasil
420125;APIUNA;SC;Brasil
420160;ARROIO TRINTA;SC;Brasil
420180;ATALANTA;SC;Brasil
420195;BALNEARIO ARROIO DO SILVA;SC;Brasil
420208;BANDEIRANTE;SC;Brasil
420210;BARRA VELHA;SC;Brasil
420213;BELA VISTA DO TOLDO;SC;Brasil
420243;BOCAINA DO SUL;SC;Brasil
420250;BOM JARDIM DA SERRA;SC;Brasil
420260;BOM RETIRO;SC;Brasil
420270;BOTUVERA;SC;Brasil
420287;BRUNOPOLIS;SC;Brasil
420315;CALMON;SC;Brasil
420320;CAMBORIU;SC;Brasil
420330;CAMPO ALEGRE;SC;Brasil
420340;CAMPO BELO DO SUL;SC;Brasil
420370;CANELINHA;SC;Brasil
420380;CANOINHAS;SC;Brasil
420410;CAXAMBU DO SUL;SC;Brasil
420420;CHAPECO;SC;Brasil
420430;CONCORDIA;SC;Brasil
420435;CORDILHEIRA ALTA;SC;Brasil
420440;CORONEL FREITAS;SC;Brasil
420445;CORONEL MARTINS;SC;Brasil
420455;CORREIA PINTO;SC;Brasil
420490;DESCANSO;SC;Brasil
420515;DOUTOR PEDRINHO;SC;Brasil
420517;ENTRE RIOS;SC;Brasil
420520;ERVAL VELHO;SC;Brasil
420543;FORMOSA DO SUL;SC;Brasil
420545;FORQUILHINHA;SC;Brasil
420555;FREI ROGERIO;SC;Brasil
420560;GALVAO;SC;Brasil
420590;GASPAR;SC;Brasil
420620;GRAVATAL;SC;Brasil
420630;GUABIRUBA;SC;Brasil
420640;GUARACIABA;SC;Brasil
420660;GUARUJA DO SUL;SC;Brasil
240500;JACANA;RN;Brasil
240530;JANUARIO CICCO;RN;Brasil
240550;JARDIM DE ANGICOS;RN;Brasil
240570;JARDIM DO SERIDO;RN;Brasil
240580;JOAO CAMARA;RN;Brasil
240590;JOAO DIAS;RN;Brasil
240615;JUNDIA;RN;Brasil
240640;LAGOA DE VELHOS;RN;Brasil
240670;LAJES;RN;Brasil
240710;MACAIBA;RN;Brasil
240720;MACAU;RN;Brasil
240725;MAJOR SALES;RN;Brasil
240740;MARTINS;RN;Brasil
240780;MONTE ALEGRE;RN;Brasil
240790;MONTE DAS GAMELEIRAS;RN;Brasil
240830;NOVA CRUZ;RN;Brasil
240840;OLHO-D'AGUA DO BORGES;RN;Brasil
240860;PARANA;RN;Brasil
240870;PARAU;RN;Brasil
240890;PARELHAS;RN;Brasil
240910;PASSA E FICA;RN;Brasil
240933;SANTA MARIA;RN;Brasil
240980;PEDRO VELHO;RN;Brasil
240990;PENDENCIAS;RN;Brasil
241010;POCO BRANCO;RN;Brasil
241020;PORTALEGRE;RN;Brasil
241030;PRESIDENTE JUSCELINO;RN;Brasil
241040;PUREZA;RN;Brasil
241070;RIACHO DA CRUZ;RN;Brasil
241080;RIACHO DE SANTANA;RN;Brasil
241090;RIACHUELO;RN;Brasil
241170;SAO BENTO DO TRAIRI;RN;Brasil
241190;SAO FRANCISCO DO OESTE;RN;Brasil
241210;SAO JOAO DO SABUGI;RN;Brasil
241250;SAO MIGUEL;RN;Brasil
241280;SAO RAFAEL;RN;Brasil
241290;SAO TOME;RN;Brasil
241310;SENADOR ELOI DE SOUZA;RN;Brasil
241320;SENADOR GEORGINO AVELINO;RN;Brasil
241335;SERRA DO MEL;RN;Brasil
241340;SERRA NEGRA DO NORTE;RN;Brasil
241360;SEVERIANO MELO;RN;Brasil
241370;SITIO NOVO;RN;Brasil
